#,Model,Features,accuracy,precision,recall,f1,auc
1,Majority Class,72,0.4715 +/- 0.0225,0.2927 +/- 0.2392,0.6000 +/- 0.4899,0.3934 +/- 0.3214,0.5000 +/- 0.0000
2,Logistic Regression,72,0.7384 +/- 0.0226,0.7062 +/- 0.0367,0.8369 +/- 0.0603,0.7648 +/- 0.0358,0.7347 +/- 0.0211
3,Random Forest,72,0.7934 +/- 0.0600,0.7862 +/- 0.0955,0.8456 +/- 0.0526,0.8093 +/- 0.0486,0.8531 +/- 0.0343
4,XGBoost (flat),72,0.7504 +/- 0.0510,0.7089 +/- 0.0637,0.8937 +/- 0.0729,0.7864 +/- 0.0375,0.8093 +/- 0.0561
5,LSTM Only (Tier A: 36 feat),36,0.7872 +/- 0.0398,0.7864 +/- 0.0548,0.8040 +/- 0.0762,0.7924 +/- 0.0487,0.8031 +/- 0.0538
6,LSTM+XGB (Tier A: 36 feat),36,0.7925 +/- 0.0384,0.7898 +/- 0.0545,0.8124 +/- 0.0806,0.7979 +/- 0.0488,0.8154 +/- 0.0395
7,LSTM Only (Tier B: 72 feat),72,0.7824 +/- 0.0817,0.7726 +/- 0.1043,0.8474 +/- 0.0726,0.8017 +/- 0.0612,0.8033 +/- 0.1010
8,LSTM+XGB (Tier B: 72 feat),72,0.7888 +/- 0.0724,0.7960 +/- 0.0961,0.8083 +/- 0.0410,0.7987 +/- 0.0585,0.8156 +/- 0.0571
9,LSTM Only (Tier C: 77 feat),77,0.8066 +/- 0.0838,0.8029 +/- 0.1094,0.8424 +/- 0.0616,0.8187 +/- 0.0732,0.8133 +/- 0.1067
10,LSTM+XGB (Tier C: 77 feat),77,0.7877 +/- 0.0588,0.7660 +/- 0.0703,0.8510 +/- 0.0573,0.8047 +/- 0.0547,0.8349 +/- 0.0508
11,LSTM Only (Tier D: 85 feat),85,0.7590 +/- 0.1008,0.7331 +/- 0.1014,0.8875 +/- 0.0755,0.7948 +/- 0.0613,0.7973 +/- 0.1027
12,LSTM+XGB (Tier D: 85 feat),85,0.7800 +/- 0.0580,0.7520 +/- 0.0723,0.8648 +/- 0.0383,0.8021 +/- 0.0461,0.8062 +/- 0.0511
